Order,,,Tag Code,,,Reader,Mux,RSSI,,Time
51955,TAG_READ,,c50000000000000000000292,,,1,1,-66,1.52E+12,1520473480
51956,TAG_READ,,c50000000000000000000235,,,1,1,-69,1.52E+12,1520473480
51957,TAG_READ,,c50000000000000000000048,,,1,4,-68,1.52E+12,1520473480
51958,TAG_READ,,c50000000000000000000048,,,1,1,-63,1.52E+12,1520473480
51959,TAG_READ,,c50000000000000000000710,,,1,4,-69,1.52E+12,1520473481
51960,TAG_READ,,c50000000000000000000235,,,1,3,-71,1.52E+12,1520473481
51961,TAG_READ,,c50000000000000000000916,,,1,3,-69,1.52E+12,1520473481
51962,TAG_READ,,c50000000000000000000048,,,1,2,-68,1.52E+12,1520473481
51963,TAG_READ,,c50000000000000000000235,,,1,4,-64,1.52E+12,1520473481
51964,TAG_READ,,c50000000000000000000916,,,1,4,-65,1.52E+12,1520473481
51965,TAG_READ,,c50000000000000000000235,,,1,1,-66,1.52E+12,1520473481
51966,TAG_READ,,c50000000000000000000048,,,1,1,-65,1.52E+12,1520473481
51967,TAG_READ,,c50000000000000000000292,,,1,1,-67,1.52E+12,1520473481
51968,TAG_READ,,c50000000000000000000235,,,1,1,-67,1.52E+12,1520473481
51969,TAG_READ,,c50000000000000000000916,,,1,3,-69,1.52E+12,1520473481
51970,TAG_READ,,c50000000000000000000235,,,1,4,-67,1.52E+12,1520473481
51971,TAG_READ,,c50000000000000000000235,,,1,1,-68,1.52E+12,1520473482
51972,TAG_READ,,c50000000000000000000048,,,1,1,-67,1.52E+12,1520473482
51973,TAG_READ,,c50000000000000000000315,,,1,1,-68,1.52E+12,1520473482
51974,TAG_READ,,c50000000000000000000048,,,1,3,-71,1.52E+12,1520473482
51975,TAG_READ,,c50000000000000000000235,,,1,1,-70,1.52E+12,1520473482
51976,TAG_READ,,c50000000000000000000048,,,1,4,-68,1.52E+12,1520473482
51977,TAG_READ,,c50000000000000000000292,,,1,4,-67,1.52E+12,1520473482
51978,TAG_READ,,c50000000000000000000235,,,1,1,-69,1.52E+12,1520473482
51979,TAG_READ,,c50000000000000000000292,,,1,1,-67,1.52E+12,1520473482
51980,TAG_READ,,c50000000000000000000048,,,1,1,-68,1.52E+12,1520473482
51981,TAG_READ,,c50000000000000000000916,,,1,3,-69,1.52E+12,1520473482
51982,TAG_READ,,c50000000000000000000916,,,1,4,-64,1.52E+12,1520473482
51983,TAG_READ,,c50000000000000000000916,,,1,3,-64,1.52E+12,1520473483
51985,TAG_ALARM,EPC_EAS,c50000000000000000000048,,,1,,,1.52E+12,1520473482
51985,TAG_READ,,c50000000000000000000916,,,1,3,-64,1.52E+12,1520473483
51986,TAG_READ,,c50000000000000000000916,,,1,3,-64,1.52E+12,1520473483
51987,TAG_READ,,c50000000000000000000315,,,1,4,-69,1.52E+12,1520473484
51988,TAG_READ,,c50000000000000000000048,,,1,4,-66,1.52E+12,1520473484
51989,TAG_READ,,c50000000000000000000883,,,1,4,-72,1.52E+12,1520473484
51990,TAG_READ,,c50000000000000000000048,,,1,1,-67,1.52E+12,1520473484
51991,TAG_READ,,c50000000000000000000235,,,1,1,-70,1.52E+12,1520473484
51992,TAG_READ,,c50000000000000000000315,,,1,1,-69,1.52E+12,1520473484
51993,TAG_READ,,c50000000000000000000235,,,1,4,-69,1.52E+12,1520473484
51994,TAG_READ,,c50000000000000000000292,,,1,4,-67,1.52E+12,1520473484
51995,TAG_READ,,c50000000000000000000048,,,1,4,-67,1.52E+12,1520473484
51996,TAG_READ,,c50000000000000000000235,,,1,1,-69,1.52E+12,1520473484
51997,TAG_READ,,c50000000000000000000916,,,1,3,-71,1.52E+12,1520473484
51998,TAG_READ,,c50000000000000000000235,,,1,4,-67,1.52E+12,1520473484
51999,TAG_READ,,c50000000000000000000916,,,1,4,-64,1.52E+12,1520473484
52000,TAG_READ,,c50000000000000000000048,,,1,1,-65,1.52E+12,1520473484
52001,TAG_READ,,c50000000000000000000235,,,1,1,-66,1.52E+12,1520473484
52002,TAG_READ,,c50000000000000000000916,,,1,3,-64,1.52E+12,1520473484
52003,TAG_READ,,c50000000000000000000048,,,1,2,-65,1.52E+12,1520473484
52004,TAG_READ,,c50000000000000000000235,,,1,4,-67,1.52E+12,1520473485
52005,TAG_READ,,c50000000000000000000916,,,1,4,-64,1.52E+12,1520473485
52006,TAG_READ,,c50000000000000000000235,,,1,4,-70,1.52E+12,1520473485
52007,TAG_READ,,c50000000000000000000235,,,1,1,-70,1.52E+12,1520473485
52009,TAG_ALARM,EPC_EAS,c50000000000000000000048,,,1,,,1.52E+12,1520473485
52009,TAG_READ,,c50000000000000000000048,,,1,4,-66,1.52E+12,1520473485
52010,TAG_READ,,c50000000000000000000292,,,1,4,-66,1.52E+12,1520473485
52011,TAG_READ,,c50000000000000000000235,,,1,4,-66,1.52E+12,1520473485
52012,TAG_READ,,c50000000000000000000916,,,1,4,-69,1.52E+12,1520473485
52013,TAG_READ,,c50000000000000000000235,,,1,1,-65,1.52E+12,1520473485
52014,TAG_READ,,c50000000000000000000292,,,1,1,-67,1.52E+12,1520473485
52015,TAG_READ,,c50000000000000000000916,,,1,3,-69,1.52E+12,1520473485
52016,TAG_READ,,c50000000000000000000292,,,1,4,-65,1.52E+12,1520473485
52017,TAG_READ,,c50000000000000000000235,,,1,4,-67,1.52E+12,1520473485
