Order,Tag,,Tag Code,,,Reader,Mux,RSSI,,Time
37424,TAG_READ,,083056003e9993703c12900827a00400,,,1,4,-69,1.52045E+12,450691
37425,TAG_READ,,abacab000000000000000270,,,1,4,-72,1.52045E+12,450691
37426,TAG_READ,,08306171706a2a7d0235cb550e030400,,,1,4,-71,1.52045E+12,450691
37427,TAG_READ,,abacab000000000000000148,,,1,4,-70,1.52045E+12,450691
37428,TAG_READ,,c50000000000000000000953,,,1,4,-71,1.52045E+12,450691
37429,TAG_READ,,c50000000000000000000158,,,1,4,-64,1.52045E+12,450691
37430,TAG_READ,,c50000000000000000000859,,,1,4,-64,1.52045E+12,450691
37431,TAG_READ,,c50000000000000000000315,,,1,4,-69,1.52045E+12,450691
37432,TAG_READ,,083056003e86d2e43c03b5fe27a00400,,,1,4,-70,1.52045E+12,450691
37433,TAG_READ,,c50000000000000000000323,,,1,4,-67,1.52045E+12,450691
37434,TAG_READ,,c50000000000000000000324,,,1,4,-67,1.52045E+12,450691
37435,TAG_READ,,c50000000000000000000691,,,1,4,-73,1.52045E+12,450691
37436,TAG_READ,,c50000000000000000000044,,,1,4,-64,1.52045E+12,450691
37437,TAG_READ,,c50000000000000000000503,,,1,4,-67,1.52045E+12,450691
37438,TAG_READ,,c50000000000000000000803,,,1,4,-73,1.52045E+12,450691
37439,TAG_READ,,c50000000000000000000623,,,1,4,-72,1.52045E+12,450691
37440,TAG_READ,,c50000000000000000000764,,,1,4,-71,1.52045E+12,450691
37441,TAG_READ,,c50000000000000000000916,,,1,4,-71,1.52045E+12,450691
37442,TAG_READ,,c50000000000000000000581,,,1,4,-72,1.52045E+12,450691
37443,TAG_READ,,c50000000000000000000610,,,1,4,-68,1.52045E+12,450691
37444,TAG_READ,,c50000000000000000000352,,,1,4,-68,1.52045E+12,450691
37445,TAG_READ,,c50000000000000000000802,,,1,4,-71,1.52045E+12,450691
37446,TAG_READ,,c50000000000000000000765,,,1,4,-71,1.52045E+12,450691
37447,TAG_READ,,c50000000000000000000500,,,1,4,-69,1.52045E+12,450691
37448,TAG_READ,,c50000000000000000000444,,,1,4,-72,1.52045E+12,450691
37449,TAG_READ,,c50000000000000000000235,,,1,4,-65,1.52045E+12,450691
37450,TAG_READ,,08303242b99c64e60f087f9359028400,,,1,4,-68,1.52045E+12,450691
37451,TAG_READ,,c50000000000000000000900,,,1,4,-68,1.52045E+12,450691
37452,TAG_READ,,c50000000000000000000155,,,1,4,-77,1.52045E+12,450691
37453,TAG_READ,,c50000000000000000000027,,,1,4,-74,1.52045E+12,450691
37454,TAG_READ,,c50000000000000000000654,,,1,4,-71,1.52045E+12,450691
37455,TAG_READ,,c50000000000000000000507,,,1,4,-74,1.52045E+12,450691
37456,TAG_READ,,c50000000000000000000048,,,1,4,-66,1.52045E+12,450691
37457,TAG_READ,,c50000000000000000000519,,,1,1,-72,1.52045E+12,450691
37458,TAG_READ,,c50000000000000000000323,,,1,1,-70,1.52045E+12,450691
37459,TAG_READ,,c50000000000000000000158,,,1,1,-64,1.52045E+12,450691
37460,TAG_READ,,c50000000000000000000765,,,1,1,-68,1.52045E+12,450691
37461,TAG_READ,,c50000000000000000000623,,,1,1,-67,1.52045E+12,450691
37462,TAG_READ,,c50000000000000000000763,,,1,1,-72,1.52045E+12,450691
37463,TAG_READ,,c50000000000000000000828,,,1,1,-71,1.52045E+12,450691
37464,TAG_READ,,abacab000000000000000175,,,1,1,-74,1.52045E+12,450691
37465,TAG_READ,,c50000000000000000000324,,,1,1,-70,1.52045E+12,450691
37466,TAG_READ,,c50000000000000000000324,,,1,4,-71,1.52045E+12,450691
37467,TAG_READ,,c50000000000000000000044,,,1,4,-68,1.52045E+12,450691
37468,TAG_READ,,abacab000000000000000133,,,1,4,-71,1.52045E+12,450691
37469,TAG_READ,,08303242b99c64e60f087f9359028400,,,1,4,-70,1.52045E+12,450691
37470,TAG_READ,,c50000000000000000000765,,,1,4,-71,1.52045E+12,450691
37471,TAG_READ,,abacab000000000000000178,,,1,4,-68,1.52045E+12,450691
37472,TAG_READ,,083056003e9993703c12900827a00400,,,1,4,-70,1.52045E+12,450691
37473,TAG_READ,,c50000000000000000000323,,,1,4,-70,1.52045E+12,450691
37474,TAG_READ,,c50000000000000000000710,,,1,4,-68,1.52045E+12,450691
37475,TAG_READ,,c50000000000000000000953,,,1,4,-71,1.52045E+12,450691
37476,TAG_READ,,c50000000000000000000334,,,1,2,-70,1.52045E+12,450691
37477,TAG_READ,,c50000000000000000000334,,,1,2,-69,1.52045E+12,450691
37478,TAG_READ,,c50000000000000000000155,,,1,1,-74,1.52045E+12,450691
37479,TAG_READ,,c50000000000000000000334,,,1,1,-57,1.52045E+12,450691
37480,TAG_READ,,c50000000000000000000710,,,1,1,-66,1.52045E+12,450691
37481,TAG_READ,,c50000000000000000000765,,,1,1,-68,1.52045E+12,450691
37482,TAG_READ,,c50000000000000000000158,,,1,1,-67,1.52045E+12,450691
37483,TAG_READ,,c50000000000000000000235,,,1,1,-70,1.52045E+12,450691
37484,TAG_READ,,c50000000000000000000610,,,1,1,-70,1.52045E+12,450691
37485,TAG_READ,,c50000000000000000000763,,,1,1,-72,1.52045E+12,450691
37486,TAG_READ,,c50000000000000000000044,,,1,1,-71,1.52045E+12,450691
37487,TAG_READ,,c50000000000000000000623,,,1,1,-70,1.52045E+12,450691
37488,TAG_READ,,c50000000000000000000324,,,1,1,-67,1.52045E+12,450692
37489,TAG_READ,,c50000000000000000000148,,,1,1,-68,1.52045E+12,450692
37490,TAG_READ,,c50000000000000000000828,,,1,4,-68,1.52045E+12,450692
37491,TAG_READ,,c50000000000000000000334,,,1,2,-61,1.52045E+12,450692
37492,TAG_READ,,c50000000000000000000039,,,1,1,-67,1.52045E+12,450692
37493,TAG_READ,,c50000000000000000000859,,,1,1,-69,1.52045E+12,450692
37494,TAG_READ,,c50000000000000000000623,,,1,1,-73,1.52045E+12,450692
37495,TAG_READ,,c50000000000000000000315,,,1,1,-74,1.52045E+12,450692
37496,TAG_READ,,abacab000000000000000148,,,1,1,-70,1.52045E+12,450692
37497,TAG_READ,,c50000000000000000000158,,,1,1,-64,1.52045E+12,450692
37498,TAG_READ,,c50000000000000000000334,,,1,1,-56,1.52045E+12,450692
37499,TAG_READ,,c50000000000000000000610,,,1,1,-63,1.52045E+12,450692
37500,TAG_READ,,c50000000000000000000323,,,1,1,-69,1.52045E+12,450692
37501,TAG_READ,,c50000000000000000000243,,,1,1,-71,1.52045E+12,450692
37502,TAG_READ,,c50000000000000000000581,,,1,1,-74,1.52045E+12,450692
37503,TAG_READ,,c50000000000000000000710,,,1,1,-71,1.52045E+12,450692
37504,TAG_READ,,c50000000000000000000352,,,1,1,-72,1.52045E+12,450692
37505,TAG_READ,,c50000000000000000000044,,,1,1,-69,1.52045E+12,450692
37506,TAG_READ,,aaaaaaaaaaaa09aaaaaaaaaaaaaaaaaa,,,1,1,-74,1.52045E+12,450692
37507,TAG_READ,,c50000000000000000000039,,,1,4,-68,1.52045E+12,450692
37508,TAG_READ,,c50000000000000000000916,,,1,2,-69,1.52045E+12,450692
37509,TAG_READ,,c50000000000000000000158,,,1,2,-67,1.52045E+12,450692
37510,TAG_READ,,c50000000000000000000900,,,1,2,-69,1.52045E+12,450692
37511,TAG_READ,,c50000000000000000000916,,,1,2,-65,1.52045E+12,450692
37512,TAG_READ,,c50000000000000000000158,,,1,2,-67,1.52045E+12,450692
37513,TAG_READ,,c50000000000000000000900,,,1,2,-69,1.52045E+12,450692
37515,TAG_ALARM,EPC_EAS,c50000000000000000000334,,,1,,,1.52045E+12,450691
37515,TAG_READ,,c50000000000000000000048,,,1,1,-64,1.52045E+12,450692
37516,TAG_READ,,c50000000000000000000352,,,1,1,-69,1.52045E+12,450692
37517,TAG_READ,,c50000000000000000000027,,,1,1,-71,1.52045E+12,450692
37518,TAG_READ,,c50000000000000000000323,,,1,1,-69,1.52045E+12,450692
37519,TAG_READ,,c50000000000000000000324,,,1,1,-64,1.52045E+12,450692
37520,TAG_READ,,c50000000000000000000503,,,1,1,-66,1.52045E+12,450692
37521,TAG_READ,,aaaaaaaaaaaa09aaaaaaaaaaaaaaaaaa,,,1,1,-58,1.52045E+12,450692
37522,TAG_READ,,c50000000000000000000630,,,1,1,-68,1.52045E+12,450692
37523,TAG_READ,,c50000000000000000000803,,,1,1,-70,1.52045E+12,450692
37524,TAG_READ,,c50000000000000000000953,,,1,1,-71,1.52045E+12,450692
37525,TAG_READ,,c50000000000000000000764,,,1,1,-64,1.52045E+12,450692
37526,TAG_READ,,c50000000000000000000444,,,1,1,-71,1.52045E+12,450692
37527,TAG_READ,,c50000000000000000000900,,,1,1,-64,1.52045E+12,450692
37528,TAG_READ,,c50000000000000000000235,,,1,1,-69,1.52045E+12,450692
37529,TAG_READ,,c50000000000000000000334,,,1,1,-59,1.52045E+12,450692
37530,TAG_READ,,c50000000000000000000623,,,1,1,-69,1.52045E+12,450692
37531,TAG_READ,,c50000000000000000000691,,,1,1,-74,1.52045E+12,450692
37532,TAG_READ,,c50000000000000000000507,,,1,1,-71,1.52045E+12,450692
37533,TAG_READ,,c50000000000000000000386,,,1,1,-64,1.52045E+12,450692
37534,TAG_READ,,c50000000000000000000039,,,1,1,-63,1.52045E+12,450692
